Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name,Latitude,Longitude
Newfoundland and Labrador,Arup Canada Inc.,"St. John's, NL A1B 4M7",1,Arup Canada Inc.,0211,Engineering managers,47.56146,-52.772715
Newfoundland and Labrador,Avalla Construction Inc.,"St. John's, NL A1E 6A3",2,High Wage,7281,Bricklayers,47.5042173,-52.7769892
Newfoundland and Labrador,Central Regional Health Authority,"Grand Falls-Windsor, NL A2A 2E1",1,High Wage,3111,Specialist physicians,48.933254,-55.647212
Newfoundland and Labrador,Key Assets NL,"St John's, NL A1C 6E7",1,High Wage,4212,Social and community service workers,47.559563,-52.711431
Newfoundland and Labrador,Kiewit-Kvaerner Contractors,"St. John's, NL A1E 1E2",1,High Wage,2131,Civil engineers,47.5317522,-52.7398845
Newfoundland and Labrador,Labrador-Grenfell Health,"Happy Valley - Goose Bay, NL A0P 1C0",3,High Wage,3111,Specialist physicians,53.308255,-60.378852
Newfoundland and Labrador,Schlumberger Canada Limited,"Mount Pearl, NL A1N 5B1",2,High Wage,8222,"Contractors and supervisors, oil and gas drilling and services",47.520154,-52.835093
Newfoundland and Labrador,Seadrill Canada Ltd.,"St. John's, NL A1E 0E4",2,High Wage,8232,"Oil and gas well drillers, servicers, testers and related workers",47.539302,-52.74861
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2,High Wage,0711,Construction managers,47.551277,-52.727693
Newfoundland and Labrador,Technip Canada Limited,"St. John's, NL A1B 0L2",1,High Wage,0016,Senior managers ,47.5588544,-52.7832257
Newfoundland and Labrador,Transocean Canada Drilling Company,"St. John's, NL A1A 0P9",2,High Wage,0811,Managers in natural resources production and fishing,47.595693,-52.70948
Newfoundland and Labrador,Virtual Marine Technology Inc.,"St.John's, NL A1B 3N4",1,High Wage,1122,Professional occupations in business management consulting,47.540271,-52.783174
Newfoundland and Labrador,10113 Newfoundland Limited,"Clarenville, NL A5A 1K6",1,10113 Newfoundland Limited,6311,Food service supervisors,48.171733,-53.989211
Newfoundland and Labrador,10565 NFLD. Inc.,"Happy Valley-Goose Bay, NL A0P 1C0",1,Low Wage,6311,Food service supervisors,53.308255,-60.378852
Newfoundland and Labrador,71036 Newfoundland and Labrador Limited,"Happy Valley Goose Bay, NL A0P 1E0",1,Low Wage,7322,Motor vehicle body repairers,53.312758,-60.38015
Newfoundland and Labrador,BJH Enterprises Inc.,"St. John's, NL A1B 3M7",1,Low Wage,6322,Cooks,47.577761,-52.875216
