Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name,Incorporated Status,Approved LMIA,Latitude,Longitude
Newfoundland and Labrador,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3,High Wage,3111,Specialist physicians,Non-Profit Organization,3,48.933254,-55.647212
Newfoundland and Labrador,Memorial University of Newfoundland and Labrador,"St. John's, NL A1C 5S7",1,High Wage,4011,University professors and lecturers,Unknown,1,47.55954,-52.711431
Newfoundland and Labrador,Oceanex Inc.,"St. John's, NL A1C 1K4",1,High Wage,0731,Managers in transportation,Unknown,1,47.571543,-52.7003125
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",1,High Wage,2113,Geoscientists and oceanographers,Corporation,1,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",1,High Wage,7302,"Contractors and supervisors, heavy equipment operator crews",Corporation,1,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",1,High Wage,7371,Crane operators,Corporation,1,47.551277,-52.727693
Newfoundland and Labrador,Subsea 7 Canada Inc.,"St. John's, NL A1E 3Y3",2,High Wage,7384,"Other trades and related occupations, n.e.c.",Corporation,2,47.551277,-52.727693
Newfoundland and Labrador,Western Regional Health Authority,"Corner Brook, NL A2H 6J7",2,High Wage,3111,Specialist physicians,Unknown,2,48.965333,-58.030775
Newfoundland and Labrador,3T's Limited,"Woody Point, NL A0K 1P0",3,Low Wage,9463,Fish and seafood plant workers,Corporation,1,49.5533333,-57.9313889
Newfoundland and Labrador,72764 Newfoundland and Labrador Ltd.,"Springdale, NL A0J 1T0",1,Low Wage,6311,Food service supervisors,Unknown,1,49.5340194702148,-56.191593170166
Newfoundland and Labrador,76361 NL Inc.,"Deer Lake, NL A8A 1E6",2,Low Wage,6311,Food service supervisors,Unknown,1,49.17559,-57.4319
Newfoundland and Labrador,Awesome Enterprises Ltd,"Mount Pearl, NL A1N 3J5",2,Low Wage,6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1,47.5232115,-52.7789647
Newfoundland and Labrador,BJH Enterprises Inc.,"St. John's, NL A1B 3R4",1,Low Wage,6322,Cooks,Unknown,1,47.5776066,-52.7292422
Newfoundland and Labrador,BSM Investments Inc.,"Conception Bay South, NL A1X 0C8",1,Low Wage,6322,Cooks,Unknown,1,47.450046,-53.0328069
Newfoundland and Labrador,Burton's Adventure Ltd,"St John's, NL A1H 1A1",3,Low Wage,6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1,47.4933062,-52.8154921
Newfoundland and Labrador,Coastline Adventures Inc,"Kings Point, NL A0J 1H0",4,Low Wage,9619,"Other labourers in processing, manufacturing and utilities",Unknown,1,49.564592,-56.221529
Newfoundland and Labrador,ELH Enterprises Inc,"Corner Brook, NL A2H 5L8",2,Low Wage,6322,Cooks,Unknown,1,48.942579,-57.944865
Newfoundland and Labrador,ELH Enterprises Inc,"Corner Brook, NL A2H 5L8",2,Low Wage,6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1,48.942579,-57.944865
Newfoundland and Labrador,GOULDS FOODS INC,"PORTUGAL COVE ST PHILIPS, NL A1M 1E3",1,Low Wage,6322,Cooks,Unknown,1,47.586467,-52.885492
Newfoundland and Labrador,Hermitage Processing Inc.,"Hermitage, NL A0H 1S0",12,Low Wage,9463,Fish and seafood plant workers,Unknown,1,47.558341,-55.927895
Newfoundland and Labrador,J.Co Holdings Inc.,"St. John's, NL A1B 3R2",2,Low Wage,6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1,47.557006,-52.760948
Newfoundland and Labrador,MiKe Davis Signs Ltd.,"Mount Pearl, NL A1N 5E8",2,Low Wage,7535,Other automotive mechanical installers and servicers,Unknown,1,47.52601,-52.767919
Newfoundland and Labrador,Sexton Lumber Co. Limited,"Bloomfield, NL A0C 1A0",20,Low Wage,9614,"Labourers in wood, pulp and paper processing",Unknown,1,48.346418,-53.964627
Newfoundland and Labrador,Sunnyslope Foods Inc,"Torbay, NL A1K 1G3",1,Low Wage,6311,Food service supervisors,Unknown,1,47.646658,-52.770851
Newfoundland and Labrador,Sunnyslope Foods Inc,"Torbay, NL A1K 1G3",3,Low Wage,6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1,47.646658,-52.770851
Newfoundland and Labrador,Vatcher Restaurant Inc,"Corner Brook, NL A2H 2Y6",1,Low Wage,6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1,48.953281,-57.944858
Newfoundland and Labrador,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7",3,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,49.282213,-57.420854
Newfoundland and Labrador,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7",3,Primary Agriculture,8431,General farm workers,Unknown,1,49.282213,-57.420854
Newfoundland and Labrador,Munn Poultry Farm Limited,"ST. JOHN'S, NL A1E 2C2",5,Primary Agriculture,8431,General farm workers,Unknown,1,47.5305253,-52.7575025
Newfoundland and Labrador,Sunrise Dairy Ltd,"Musgravetwon, NL A0C 1Z0",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",Unknown,1,48.399273,-53.927275
Prince Edward Island,Bulk Carriers (P.E.I.) Limited,"Clyde River, PE C0A 1H3",15,High Wage,7511,Transport truck drivers,Unknown,1,46.234616,-63.254743
Prince Edward Island,Diversified Divers Inc,"Hazelbrook, PE C1B 0R9",1,High Wage,7384,"Other trades and related occupations, n.e.c.",Unknown,1,46.218074,-62.991936
Prince Edward Island,Flourish Construction Ltd.,"Stratford, PE C1B 0E6",1,High Wage,2231,Civil engineering technologists and technicians,Unknown,1,46.201604,-63.100075
Prince Edward Island,Garland Construction Inc.,"Charlottetown, PE C1E 0M6",1,High Wage,7291,Roofers and shinglers,Unknown,1,46.2814334,-63.2002644
Prince Edward Island,100066 PEI INC,"summerside, PE C1N 4Y8",1,Low Wage,6322,Cooks,Unknown,1,46.397299,-63.794064
