Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name,Incorporated Status,Approved LMIA,Latitude,Longitude
Newfoundland and Labrador,85242 Newfoundland and Labrador Inc.,"Spaniard's Bay, NL A0A 3X0",1,High Wage,7204,"Contractors and supervisors, carpentry trades",Unknown,1,47.61295,-53.376104
Newfoundland and Labrador,85242 Newfoundland and Labrador Inc.,"Spaniard's Bay, NL A0A 3X0",2,High Wage,7251,Plumbers,Unknown,1,47.61295,-53.376104
Newfoundland and Labrador,Blanchard's Heating & Cooling Ltd.,"Corner Brook, NL A2H 4C4",1,High Wage,7313,Refrigeration and air conditioning mechanics,Unknown,1,48.9506934,-57.9539679
Newfoundland and Labrador,Christopher's Trucking,"Forteau, NL A0K 2P0",2,High Wage,7511,Transport truck drivers,Unknown,1,51.480806,-56.954241
Newfoundland and Labrador,Grieg Seafarms NL Ltd.,"St Alban's, NL A0H 2E0",2,High Wage,0823,Managers in aquaculture,Unknown,2,47.85774,-55.83966
Newfoundland and Labrador,PROMINENT TRANSPORTATION INC,"BISHOP'S FALLS, NL A0H 1C0",1,High Wage,0731,Managers in transportation,Unknown,1,49.010570526123,-55.4957237243652
Newfoundland and Labrador,10565 NFLD Inc,"Happy Valley-Goose Bay, NL A0P 1C0",2,Low Wage,6312,Executive housekeepers,Unknown,1,53.308255,-60.378852
Newfoundland and Labrador,10565 NFLD Inc,"Happy Valley-Goose Bay, NL A0P 1C0",2,Low Wage,6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1,53.308255,-60.378852
Newfoundland and Labrador,12924692 Canada Inc.,"Cormack, NL A8A 2S3",2,Low Wage,6211,Retail sales supervisors,Unknown,1,49.306262,-57.389198
Newfoundland and Labrador,72764 Newfoundland and Labrador Ltd.,"Springdale, NL A0J 1T0",2,Low Wage,6322,Cooks,Unknown,1,49.5340194702148,-56.191593170166
Newfoundland and Labrador,72764 Newfoundland and Labrador Ltd.,"Springdale, NL A0J 1T0",1,Low Wage,6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1,49.5340194702148,-56.191593170166
Newfoundland and Labrador,76361 NL Inc.,"Deer Lake, NL A8A 1E6",3,Low Wage,6311,Food service supervisors,Unknown,1,49.17559,-57.4319
Newfoundland and Labrador,Baba Q's Smoke & Grill Restaurant Ltd,"Labrador City, NL A2V 1G1",6,Low Wage,6513,Food and beverage servers,Unknown,1,52.9409516,-66.9069831
Newfoundland and Labrador,Bishops College General Partner Inc.,"St. John's, NL A1C 2L6",3,Low Wage,4412,"Home support workers, housekeepers and related occupations",Unknown,1,47.561152,-52.723026
Newfoundland and Labrador,Burton's Adventure Ltd,"St John's, NL A1H 1A1",3,Low Wage,6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1,47.4933062,-52.8154921
Newfoundland and Labrador,Chadwick Limited,"Corner Brook, NL A2H 4B5",2,Low Wage,6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1,48.9521269,-57.9534349
Newfoundland and Labrador,CRB Supermarket & Deli (2020) Ltd.,"North West River, NL A0P 1M0",2,Low Wage,6611,Cashiers,Unknown,1,53.527559,-60.142786
Newfoundland and Labrador,CRB Supermarket & Deli (2020) Ltd.,"North West River, NL A0P 1M0",1,Low Wage,6622,"Store shelf stockers, clerks and order fillers",Unknown,1,53.527559,-60.142786
Newfoundland and Labrador,Gary's Convenience Limited,"Glovertown, NL A0G 2L0",2,Low Wage,6311,Food service supervisors,Unknown,1,48.666843,-54.045243
Newfoundland and Labrador,Gary's Convenience Limited,"Glovertown, NL A0G 2L0",2,Low Wage,6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1,48.666843,-54.045243
Newfoundland and Labrador,Golden Shell Fisheries (2014) Limited,"Hickman's Harbour, NL A0C 1P0",20,Low Wage,9463,Fish and seafood plant workers,Unknown,1,48.102681,-53.744284
Newfoundland and Labrador,Height of Land Hotel Inc.,"CHURCHILL FALLS, NL A0R 1A0",2,Low Wage,6322,Cooks,Unknown,1,53.532852,-64.014524
Newfoundland and Labrador,J.Co Holdings Inc.,"St. John's, NL A1B 3R2",2,Low Wage,6322,Cooks,Unknown,1,47.557006,-52.760948
Newfoundland and Labrador,PDLC Enterprises Inc,"Labrador City, NL A2V 2K7",4,Low Wage,6322,Cooks,Unknown,1,52.940932,-66.92406
