Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name,Latitude,Longitude
Newfoundland and Labrador,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",2,Central Regional Health Authority,3111,Specialist physicians,48.933254,-55.647212
Newfoundland and Labrador,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",1,Eastern Regional Health Authority,3111,Specialist physicians,47.5232115,-52.7789647
Newfoundland and Labrador,Jump Academy of Dance Inc.,"CLARENVILLE, NL A5A 1K7",1,Jump Academy of Dance Inc.,5134,Dancers,48.171734,-53.989211
Newfoundland and Labrador,Labrador-Grenfell Health,"HAPPY VALLEY-GOOSE BAY, NL A0P 1C0",1,Labrador-Grenfell Health,3111,Specialist physicians,53.308255,-60.378852
Newfoundland and Labrador,Oceanex Inc.,"St. John's, NL A1C 1K4",1,Oceanex Inc.,0016,Senior managers ,47.571543,-52.7003125
Newfoundland and Labrador,Sorensen School of Dance Limited,"St. John's, NL A1A 5C9",1,Sorensen School of Dance Limited,5134,Dancers,47.6073093,-52.7205831
Newfoundland and Labrador,Western Regional Integrated Health Authority,"Corner Brook, NL A2H 6J7",1,Western Regional Integrated Health Authority,3111,Specialist physicians,48.965333,-58.030775
Newfoundland and Labrador,A. & E. Jewelers Ltd.,"MOUNT PEARL, NL A1N 4W3",1,A. & E. Jewelers Ltd.,6344,"Jewellers, jewellery and watch repairers and related occupations",47.5083026,-52.8201357
Newfoundland and Labrador,Burton's Adventure Ltd. o/a Dairy Queen,"LA SCIE, NL A0K 3M0",2,Burton's Adventure Ltd. o/a Dairy Queen,6322,Cooks,49.960704,-55.593457
Newfoundland and Labrador,K and S Holdings Ltd.,"LABRADOR CITY, NL A2V 2W7",2,K and S Holdings Ltd.,6322,Cooks,52.948274,-66.92216
Newfoundland and Labrador,TORBAY FUN FOODS LTD,"ST. JOHN'S, NL A1A 5B2",2,TORBAY FUN FOODS LTD,6322,Cooks,47.595159,-52.708363
Newfoundland and Labrador,Lone Pine Farm,"Bishop's Falls, NL A0H 1C0",2,Lone Pine Farm,8431,General farm workers,49.010570526123,-55.4957237243652
