Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name,Latitude,Longitude
Newfoundland and Labrador,A-NDT Inspections Limited,"ST. JOHNS'S, NL A1B 4N8",1,A-NDT Inspections Limited,0016,Senior managers ,47.5930251,-52.7366217
Newfoundland and Labrador,Eastern Regional Integrated Health Authority o/a Dr. G.B. Cross Memorial Hospital,"BURIN, NL A0E 1E0",2,High Wage,3111,Specialist physicians,47.037913,-55.162985
Newfoundland and Labrador,G&C Reddemann Investments Ltd.,"LABRADOR CITY, NL A2V  2W",1,High Wage,6211,Retail sales supervisors,,
Newfoundland and Labrador,Transocean Canada Drilling Company,"St. John's, NL A1A 0P9",1,High Wage,2274,"Engineer officers, water transport",47.595693,-52.70948
Newfoundland and Labrador,Barry Group Inc.,"Corner Brook, NL A2H 3E9",20,Barry Group Inc.,9463,Fish and seafood plant workers,48.9595042,-57.9967139
Newfoundland and Labrador,Bugden Enterprises Inc,"Conception Bay South, NL A1W 3A3",1,Low Wage,6322,Cooks,47.5208424,-52.9479729
Newfoundland and Labrador,G&C Reddemann Investments Ltd.,"LABRADOR CITY, NL A2V  2W",11,Low Wage,6211,Retail sales supervisors,,
Newfoundland and Labrador,J. Co Holdings Inc.,"St. John's, NL A1C 2A5",2,Low Wage,6322,Cooks,47.568456,-52.708133
Newfoundland and Labrador,Lolo's Investments,"Conception Bay South, NL A1W 3A4",2,Low Wage,6322,Cooks,47.4272748,-53.098919
Newfoundland and Labrador,Nails Time Inc.,"St. John's, NL A1E 5T2",3,Low Wage,6562,"Estheticians, electrologists and related occupations",47.555255,-52.734966
Newfoundland and Labrador,Norlab Limited,"Happy Valley-Goose Bay, NL A0P 1E0",1,Low Wage,6322,Cooks,53.312758,-60.38015
Newfoundland and Labrador,Ashland Farms Inc.,"Cormack, NL A8A 2M9",2,Ashland Farms Inc.,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",49.300178,-57.388307
Newfoundland and Labrador,Birdhouse Garden Market Inc.,"HAPPY VALLEY - GOOSE BAY, NL A0P 1E0",2,Primary Agriculture,8432,Nursery and greenhouse workers,53.312758,-60.38015
Newfoundland and Labrador,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",49.282213,-57.420854
Newfoundland and Labrador,Lester's Dairy Farm,"St. John's, NL A1E 6J4",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",47.5204756,-52.766562
Newfoundland and Labrador,Viking Fur Inc,"Cavendish, NL A0B 1J0",2,Primary Agriculture,8431,General farm workers,47.715864,-53.493243
Newfoundland and Labrador,Woodland Farms Inc.,"GOULDS, NL A1S 1G7",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",47.447093,-52.771549
Prince Edward Island,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",25,Bulk Carriers (P.E.I.) Limited,7511,Transport truck drivers,46.1749323,"-63.2607926
V6P 5A7"""
Prince Edward Island,Seafood Express (PEI) Limited,"Charlottetown, PE C1A 7M8",15,High Wage,7511,Transport truck drivers,46.233768,-63.124917
Prince Edward Island,Blue Mussel Cafe Inc.,"North Rustico, PE C0A 1X0",1,Blue Mussel Cafe Inc.,0631,Restaurant and food service managers,46.481013,-63.351456
Prince Edward Island,Kildare Fisheries Ltd,"ALBERTON, PE C0B 1B0",22,Low Wage,9463,Fish and seafood plant workers,46.837425,-64.113384
Prince Edward Island,Summerside Seafood Supreme Inc.,"Summerside, PE C1N 2V5",25,Low Wage,9463,Fish and seafood plant workers,46.413814,-63.681255
Prince Edward Island,Zion Development,"Charlottetown, PE C1A 4T8",1,Low Wage,4412,"Home support workers, housekeepers and related occupations",46.242414,-63.1296
Prince Edward Island,Arlington Orchards Ltd.,"ARLINGTON, PE C0B 1Y0",4,Arlington Orchards Ltd.,8431,General farm workers,46.5138130187988,-63.9548187255859
Prince Edward Island,Atlantic Grown Organics Inc,"Kensington, PE C0B 1M0",2,Primary Agriculture,0822,Managers in horticulture,46.43789,-63.63458
Prince Edward Island,Bridgeview Acres Inc,"Albany, PE C0B 1A0",2,Primary Agriculture,8431,General farm workers,46.318197,-63.558561
Prince Edward Island,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",14,Primary Agriculture,8431,General farm workers,46.203797,-63.266232
Prince Edward Island,Carol Blum Blum's Farm Market,"BELLEVUE, PE C0A 1A0",2,Primary Agriculture,8611,Harvesting labourers,46.049674,-62.810501
Prince Edward Island,Eastern Farms Ltd,"POWNAL, PE C1B 3S5",5,Primary Agriculture,8431,General farm workers,46.2083523,-63.0759984
Prince Edward Island,Frizzell's Valleyville Farm Inc.,"HUNTER RIVER, PE C0A 1N0",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",46.401847,-63.338722
Prince Edward Island,HillTop Produce Ltd,"Kinkora, PE C0B 1N0",2,Primary Agriculture,8611,Harvesting labourers,46.344061,-63.548072
Prince Edward Island,Hy-Croft Farms Inc,"Summerside, PE C1N 4V4",15,Primary Agriculture,8431,General farm workers,46.423011,-63.800596
Prince Edward Island,Jewell's Produce,"YORK, PE C0A 1P0",9,Primary Agriculture,8431,General farm workers,46.416154,-63.074183
Prince Edward Island,Matos Winery Inc.,"St. Catherines, PE C0A 1H1",1,Primary Agriculture,8431,General farm workers,46.210462,-63.228876
Prince Edward Island,McCardle Bros.,"Kinkora, PE C0B 1N0",2,Primary Agriculture,8431,General farm workers,46.344061,-63.548072
Prince Edward Island,Newland Farms Inc.,"HUNTER RIVER, PE C0A 1N0",3,Primary Agriculture,8431,General farm workers,46.401847,-63.338722
Prince Edward Island,Ponds Edge Farms Inc.,"Souris, PE C0A 2B0",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",46.354047,-62.25215
Prince Edward Island,Power Line Pork Inc.,"Albany, PE C0B 1A0",4,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",46.318197,-63.558561
Prince Edward Island,Van Diepen Produce Ltd,"Morell, PE C0A 1S0",15,Primary Agriculture,8431,General farm workers,46.39453125,-62.7252883911133
Prince Edward Island,Vanco Farms Ltd,"Mount Albion, PE C1B 0R4",36,Primary Agriculture,8431,General farm workers,46.22192,-62.971058
Prince Edward Island,Victoria Potato Farm Inc,"Crapaud, PE C0A 1J0",1,Primary Agriculture,8431,General farm workers,46.24001,-63.50021
Prince Edward Island,Maximus Canada Services Inc.,"CHARLOTTETOWN, PE C1A 4K9",1,Maximus Canada Services Inc.,2174,Computer programmers and interactive media developers,46.24455,-63.13419
Nova Scotia,3091914 NS Ltd.,"Halifax, NS B3K 1H8",1,3091914 NS Ltd.,6322,Cooks,44.6529,-63.590404
Nova Scotia,B&R Elias Group,"CANNING, NS B0P 1H0",1,High Wage,0621,Retail and wholesale trade managers,45.026806,-64.165254
Nova Scotia,Clarke Road Transport Inc.,"Halifax, NS B3S 0B7",8,High Wage,7511,Transport truck drivers,44.642751,-63.671854
Nova Scotia,Classic Freight Systems (2011) Ltd.,"Dartmouth, NS B3N 1N8",4,High Wage,7511,Transport truck drivers,44.635733,-63.622413
Nova Scotia,Dalhousie University,"HALIFAX, NS B3H 4R2",1,High Wage,4011,University professors and lecturers,44.6370504,-63.5964136
Nova Scotia,Eassons Transport Ltd.,"Kentville, NS B4N 3V7",10,High Wage,7511,Transport truck drivers,45.067163,-64.547804
Nova Scotia,Gabadi Services Canada Inc.,"DARTMOUTH, NS B3B 1J4",7,High Wage,7235,Structural metal and platework fabricators and fitters,44.704132,-63.611144
Nova Scotia,High Liner Foods Incorporated,"Lunenburg, NS B0J 2C0",1,High Wage,0016,Senior managers ,44.37635,-64.309889
Nova Scotia,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7",3,High Wage,0211,Engineering managers,44.66274,-63.590281
Nova Scotia,Saint Mary's University,"HALIFAX, NS B3H 3C3",2,High Wage,4011,University professors and lecturers,44.630549,-63.582286
Nova Scotia,"SHIL Technologies, Inc.","Halifax, NS B3J 3N2",2,High Wage,2173,Software engineers and designers,44.6520116,-63.5760615
Nova Scotia,Ubisoft Divertissements Inc.,"HALIFAX, NS B3J 3R5",1,High Wage,1123,"Professional occupations in advertising, marketing and public relations",44.645046,-63.57027
Nova Scotia,Wolfville Nursing Homes Ltd,"Wolfville, NS B4P 1E9",1,High Wage,3012,Registered nurses and registered psychiatric nurses,45.091737,-64.35987
Nova Scotia,Amos and Andy Fisheries Ltd.,"SAMBRO, NS B3V 1L2",3,Amos and Andy Fisheries Ltd.,9618,Labourers in fish and seafood processing,44.4838879,-63.5834154
Nova Scotia,Arisu Table BBQ and Sushi Bar Limited,"HALIFAX, NS B3J 1X3",2,Low Wage,6322,Cooks,44.647431,-63.573464
Nova Scotia,Deveci Food Mart & Grocery Ltd,"Halifax, NS B3J 1H5",1,Low Wage,6322,Cooks,44.642434,-63.579178
Nova Scotia,DJAJ Property Ltd.,"Halifax, NS B3L 1L2",1,Low Wage,6322,Cooks,44.648722,-63.602523
Nova Scotia,Double Dragon Restaurant Inc.,"New Minas, NS B4N 3E2",1,Low Wage,6322,Cooks,45.0681833,-64.4631279
Nova Scotia,Fong Sing Restaurant (1996) Ltd.,"Halifax, NS B3M 3N8",1,Low Wage,6322,Cooks,44.663276,-63.653941
Nova Scotia,Helen's Family Barbershop Ltd.,"HALIFAX, NS B3K 5N6",1,Low Wage,6562,"Estheticians, electrologists and related occupations",44.659311,-63.603119
Nova Scotia,Indo Food Service Ltd,"HALIFAX, NS B3H 4H5",1,Low Wage,6322,Cooks,44.6362608,-63.5784891
Nova Scotia,LJ Robicheau and Son Fisheries,"MIDDLETON, NS B0S 1P0",6,Low Wage,9463,Fish and seafood plant workers,45.0103912353516,-65.089225769043
Nova Scotia,Mandox Incorporated,"ANNAPOLIS ROYAL, NS B0S 1A0",2,Low Wage,6322,Cooks,44.74364,-65.51801
Nova Scotia,Mic Mac Beverage Room (2006) Ltd.,"Dartmouth, NS B2X 2C3",5,Low Wage,6322,Cooks,44.692423,-63.545997
Nova Scotia,North Nova Seafoods Ltd.,"Pictou, NS B0K 1H0",20,Low Wage,9463,Fish and seafood plant workers,45.6460571289063,-62.8005790710449
Nova Scotia,Ocean Pride Fisheries Ltd.,"Lower Wedgeport, NS B0W 2B0",30,Low Wage,9618,Labourers in fish and seafood processing,43.717172,-65.97528
