Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name,Latitude,Longitude
Newfoundland and Labrador,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",2,Central Regional Health Authority,3111,Specialist physicians,48.933254,-55.647212
Newfoundland and Labrador,Codroy Valley Trucking LTD,"Doyles, NL A0N 1J0",2,Codroy Valley Trucking LTD,7511,Transport truck drivers,47.77421,-59.26419
Newfoundland and Labrador,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",3,Eastern Regional Health Authority,3111,Specialist physicians,47.5232115,-52.7789647
Newfoundland and Labrador,Sorensen School of Dance Limited,"St. John's, NL A1A 5C9",1,Sorensen School of Dance Limited,5134,Dancers,47.6073093,-52.7205831
Newfoundland and Labrador,10565 NFLD Inc,"Happy Valley-Goose Bay, NL A0P 1C0",1,10565 NFLD Inc,6322,Cooks,53.308255,-60.378852
Newfoundland and Labrador,67527 Newfoundland and Labrador Limited,"COME-BY-CHANCE, NL A0B 1N0",2,67527 Newfoundland and Labrador Limited,6322,Cooks,47.934031,-54.16475
Newfoundland and Labrador,Burton's Adventure Ltd,"St John's, NL A1H 1A1",1,Burton's Adventure Ltd,6322,Cooks,47.4933062,-52.8154921
Newfoundland and Labrador,CBS FOODS LTD,"CONCEPTION BAY, NL A1W 3A6",1,CBS FOODS LTD,6322,Cooks,47.5183451,-52.9567005
Newfoundland and Labrador,K and S Holdings Ltd.,"LABRADOR CITY, NL A2V 2W7",2,K and S Holdings Ltd.,6322,Cooks,52.948274,-66.92216
Newfoundland and Labrador,Mercer Investments Ltd,"Conception Bay South, NL A1X 7T4",1,Mercer Investments Ltd,6322,Cooks,47.49515,-53.022384
Newfoundland and Labrador,New World Dairy Inc,"St. David's, NL A0N 1X0",6,New World Dairy Inc,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",48.160518,-58.815081
Newfoundland and Labrador,HeyOrca Inc.,"St. John's, NL A1B 3P9",1,HeyOrca Inc.,2173,Software engineers and designers,47.5572548,-52.7602439
Newfoundland and Labrador,HeyOrca Inc.,"St. John's, NL A1B 3P9",1,HeyOrca Inc.,2174,Computer programmers and interactive media developers,47.5572548,-52.7602439
Prince Edward Island,Prime Natural Foods Inc.,"Charlottetown, PE C1A 0C9",1,Prime Natural Foods Inc.,0621,Retail and wholesale trade managers,46.247894,-63.120275
Prince Edward Island,Atlantic Beef Products Inc.,"Albany, PE C0B 1A0",11,Atlantic Beef Products Inc.,9462,"Industrial butchers and meat cutters, poultry preparers and related workers",46.318197,-63.558561
Prince Edward Island,Mr. Sushi Inc,"Charlottetown, PE C1A 4K6",1,Mr. Sushi Inc,6322,Cooks,46.2353744,-63.1266533
Prince Edward Island,100556 P.E.I. INC. G W.& R Visser Farms,"Vernon Bridge, PE C0A 2E0",2,100556 P.E.I. INC. G W.& R Visser Farms,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",46.179,-62.884
Prince Edward Island,Arlington Orchards Inc,"arlington, PE C0B 1Y0",3,Arlington Orchards Inc,8431,General farm workers,46.5138130187988,-63.9548187255859
Prince Edward Island,Birch Farms Ltd.,"Summerside, PE C1N 4J9",2,Birch Farms Ltd.,8431,General farm workers,46.39208,-63.740224
Prince Edward Island,D & E Pork Inc.,"Albany, PE C0B 1A0",2,D & E Pork Inc.,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",46.318197,-63.558561
Prince Edward Island,D & E Pork Inc.,"Albany, PE C0B 1A0",2,D & E Pork Inc.,8431,General farm workers,46.318197,-63.558561
Prince Edward Island,Eastern Exporters Limited,"Souris, PE C0A 2B0",5,Eastern Exporters Limited,8431,General farm workers,46.354047,-62.25215
Prince Edward Island,Havenlee Farms Inc.,"Summerside, PE C1N 4J9",2,Havenlee Farms Inc.,8431,General farm workers,46.39208,-63.740224
Prince Edward Island,Jewell's of Prince Edward Island Inc.,"York RR, PE C0A 1P0",4,Jewell's of Prince Edward Island Inc.,8431,General farm workers,46.416154,-63.074183
Prince Edward Island,King's County Pork Inc.,"Montague, PE C0A 1R0",1,King's County Pork Inc.,8431,General farm workers,46.1637,-62.64674
Prince Edward Island,MGS Holdings & Distribution Ltd.,"Alberton, PE C0B 1B0",22,MGS Holdings & Distribution Ltd.,8431,General farm workers,46.837425,-64.113384
Prince Edward Island,Mol Farms Inc.,"Kinkora, PE C0B 1N0",5,Mol Farms Inc.,8431,General farm workers,46.344061,-63.548072
Prince Edward Island,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",1,Vanco Farms Ltd.,8431,General farm workers,46.22192,-62.971058
Prince Edward Island,Victoria Potato Farm Inc.,"Crapaud, PE C0A 1J0",9,Victoria Potato Farm Inc.,8431,General farm workers,46.24001,-63.50021
Prince Edward Island,W.P.  Griffin Inc.,"Elmsdale, PE C0B 1K0",10,W.P.  Griffin Inc.,8431,General farm workers,46.837426,-64.113384
