Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name,Incorporated Status,Approved LMIA,Latitude,Longitude
Newfoundland and Labrador,Veristart Technologies Inc.,"St. John's, NL A1H 1A2",1,Global Talent Stream,2173,Software engineers and designers,Unknown,1,47.493287,-52.816271
Newfoundland and Labrador,91521 Newfoundland & Labrador Inc.,"Paradise, NL A1L 3B3",2,High Wage,7271,Carpenters,Unknown,1,47.5429213,-52.879496
Newfoundland and Labrador,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",1,High Wage,3111,Specialist physicians,Unknown,1,47.5232115,-52.7789647
Newfoundland and Labrador,Genoa Design International,"Mt. Pearl, NL A1N 4R6",5,High Wage,2253,Drafting technologists and technicians,Unknown,3,47.513044,-52.846044
Newfoundland and Labrador,Newfoundland and Labrador Health Services,"Grand Falls-Windsor, NL A2A 1Y4",1,High Wage,3111,Specialist physicians,Unknown,1,48.9296771,-55.6621051
Newfoundland and Labrador,Physio & Co. (2021) Ltd.,"Bay Bulls, NL A0A 1C0",2,High Wage,3142,Physiotherapists,Unknown,1,47.403988,-52.79987
Newfoundland and Labrador,Western Regional Health Authority,"Corner Brook, NL A2H 6J7",3,High Wage,3111,Specialist physicians,Unknown,3,48.965333,-58.030775
Newfoundland and Labrador,67527 Newfoundland and Labrador Limited,"COME-BY-CHANCE, NL A0B 1N0",4,Low Wage,6322,Cooks,Unknown,1,47.934031,-54.16475
Newfoundland and Labrador,80707 Newfoundland and Labrador Inc.,"Corner Brook, NL A2H 6P4",1,Low Wage,6322,Cooks,Unknown,1,48.950594,-57.938847
Newfoundland and Labrador,91521 Newfoundland & Labrador Inc.,"Paradise, NL A1L 3B3",1,Low Wage,7611,Construction trades helpers and labourers,Unknown,1,47.5429213,-52.879496
Newfoundland and Labrador,Allens Fisheries Limited,"Benoits Cove, NL A0L 1A0",40,Low Wage,9618,Labourers in fish and seafood processing,Unknown,1,48.993375,-58.100882
Newfoundland and Labrador,AQUA CRAB PRODUCERS INC,"AQUAFORTE, NL A0A 1A0",23,Low Wage,9463,Fish and seafood plant workers,Unknown,1,47.007347,-52.958921
Newfoundland and Labrador,Barry Group Inc,"Corner Brook, NL A2H 3E9",60,Low Wage,9463,Fish and seafood plant workers,Unknown,2,48.9595042,-57.9967139
Newfoundland and Labrador,Barry Group Inc.,"Corner Brook, NL A2H 3E9",90,Low Wage,9618,Labourers in fish and seafood processing,Unknown,6,48.9595042,-57.9967139
Newfoundland and Labrador,Blair Holdings Limited,"Corner Brook, NL A2H 4C5",1,Low Wage,6731,Light duty cleaners,Unknown,1,48.953952,-57.956832
Newfoundland and Labrador,CAKEYHAND DESSERT FACTORY INC.,"Paradise, NL A1L 1P9",1,Low Wage,6321,Chefs,Unknown,1,47.532627,-52.85581
Newfoundland and Labrador,Dallas Mercer Consulting Inc.,"Mount Pearl, NL A1C 5G4",1,Low Wage,6731,Light duty cleaners,Unknown,1,47.557518,-52.729857
Newfoundland and Labrador,Fibreglass Works Ltd,"Wareham,Centreville,Trinity, NL A0G 4P0",1,Low Wage,9535,"Plastic products assemblers, finishers and inspectors",Unknown,1,49.020798,-53.924008
