Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name,Latitude,Longitude
Newfoundland and Labrador,Central Regional Health Authority,"GRAND FALLS-WINDSOR, NL A2A 1Y4",1,Central Regional Health Authority,3111,Specialist physicians,48.9296771,-55.6621051
Newfoundland and Labrador,Eastern Regional Integrated Health Authority o/a Dr. G.B. Cross Memorial Hospital,"BURIN, NL A0E 1E0",1,High Wage,3111,Specialist physicians,47.037913,-55.162985
Newfoundland and Labrador,Malthus Uniteam Canada Limited,"ARGENTIA, NL A0B 1W0",1,High Wage,0016,Senior managers ,47.263772,-53.981509
Newfoundland and Labrador,10565 NFLD. Inc. o/a Hotel North - Jungle Jim Restaurant,"Happy Valley-Goose Bay, NL A0P 1C0",1,10565 NFLD. Inc. o/a Hotel North - Jungle Jim Restaurant,6322,Cooks,53.308255,-60.378852
Newfoundland and Labrador,K&S Holdings,"LABRADOR CITY, NL A2V  2W",3,Low Wage,6322,Cooks,,
Newfoundland and Labrador,Newfoundland and Labrador Inc.,"LABRADOR CITY, NL A2V 2Z2",2,Low Wage,6421,Retail salespersons,52.941476,-66.913212
Newfoundland and Labrador,Quinlan Brothers Ltd,"St. John's, NL A1C 6C9",50,Low Wage,9463,Fish and seafood plant workers,47.5630158,-52.7084738
Newfoundland and Labrador,Rainbow Daycare Company Ltd.,"ST. JOHN'S, NL A1E 5Z5",1,Low Wage,4214,Early childhood educators and assistants,47.5394779,-52.7580519
Newfoundland and Labrador,West End Foods Limited o/a Jungle Jims,"St. John's, NL A1E 2E3",2,Low Wage,6322,Cooks,47.5252149,-52.7695777
Newfoundland and Labrador,New World Dairy Inc.,"St. David's, NL A0N 1X0",4,New World Dairy Inc.,8431,General farm workers,48.160518,-58.815081
Newfoundland and Labrador,Nu Mink Inc.,"Corner Brook, NL A2H 3E9",2,Primary Agriculture,8431,General farm workers,48.9595042,-57.9967139
Newfoundland and Labrador,Vision33,"ST JOHN'S, NL A1C 1A9",1,Vision33,2174,Computer programmers and interactive media developers,47.5663359,-52.7048502
Prince Edward Island,BioVectra Inc,"Charlottetown, PE C1E 0A1",1,BioVectra Inc,9212,"Supervisors, petroleum, gas and chemical processing and utilities",46.2315054,-63.1322224
Prince Edward Island,Bulk Carriers (P.E.I.) Limited,"Cornwall, PE C0A 1H0",25,High Wage,7511,Transport truck drivers,46.1749323,-63.2607926
Prince Edward Island,Coastal Culture Inc,"CHARLETTETOWN, PE C1A 7K6",1,High Wage,0621,Retail and wholesale trade managers,46.233759,-63.124917
