Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name,Latitude,Longitude
Newfoundland and Labrador,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",3,Central Regional Health Authority,3111,Specialist physicians,48.933254,-55.647212
Newfoundland and Labrador,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",1,Eastern Regional Health Authority,3111,Specialist physicians,47.5232115,-52.7789647
Newfoundland and Labrador,Sulmara Subsea Canada Limited,"St. John's, NL A1A 0R6",1,Sulmara Subsea Canada Limited,2154,Land surveyors,47.581312,-52.680709
Newfoundland and Labrador,Western Regional Health Authority,"Corner Brook, NL A2H 6J7",1,Western Regional Health Authority,3111,Specialist physicians,48.965333,-58.030775
Newfoundland and Labrador,81821 Newfoundland & Labrador Ltd.,"St. John's, NL A1B 3S5",2,81821 Newfoundland & Labrador Ltd.,6341,Hairstylists and barbers,47.593728,-52.727369
Newfoundland and Labrador,Carter Holdings Inc.,"Harbour Breton, NL A0H 1P0",2,Carter Holdings Inc.,6513,Food and beverage servers,47.46947,-55.80665
Newfoundland and Labrador,CRB Supermarket & Deli (2020) Ltd.,"North West River, NL A0P 1M0",2,CRB Supermarket & Deli (2020) Ltd.,6322,Cooks,53.527559,-60.142786
Newfoundland and Labrador,Goulding's Wholesale Limited,"Gambo, NL A0G 1T0",4,Goulding's Wholesale Limited,6332,Bakers,48.868488,-54.218438
Newfoundland and Labrador,Nor-Lab Ltd,"Happy Valley-Goose Bay, NL A0P 1E0",1,Nor-Lab Ltd,6322,Cooks,53.312758,-60.38015
Newfoundland and Labrador,Peters Pizza,"Conception Bay South, NL A1W 3A4",1,Peters Pizza,6322,Cooks,47.4272748,-53.098919
Newfoundland and Labrador,Rossco Services Limited o/a Meineke Car Care,"Gander, NL A1V 2E1",1,Rossco Services Limited o/a Meineke Car Care,7612,Other trades helpers and labourers,48.966149,-54.60648
Newfoundland and Labrador,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7",2,Larch Grove Farm Ltd.,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",49.282213,-57.420854
Newfoundland and Labrador,CoLab Software Incorporated,"St. John's, NL A1A  5N",2,CoLab Software Incorporated,2173,Software engineers and designers,,
Newfoundland and Labrador,Verafin Solutions ULC,"ST. JOHN'S, NL A1A 0L9",2,Verafin Solutions ULC,2174,Computer programmers and interactive media developers,47.5607604980469,-52.7122497558594
Prince Edward Island,All Kids Learning Centre Inc.,"Charlottetown, PE C1A 2T6",1,All Kids Learning Centre Inc.,0423,"Managers in social, community and correctional services",46.244442,-63.137015
Prince Edward Island,Bulk Carriers (P.E.I.) Limited,"Clyde River, PE C0A 1H3",10,Bulk Carriers (P.E.I.) Limited,7511,Transport truck drivers,46.234616,-63.254743
Prince Edward Island,Business Porters Inc.,"Charlottetown, PE C1E 0E4",4,Business Porters Inc.,7511,Transport truck drivers,46.2830841,-63.1398476
Prince Edward Island,Captain Cooke's Seafood Inc,"Borden Carleton, PE C0B 1X0",22,Captain Cooke's Seafood Inc,9463,Fish and seafood plant workers,46.256255,-63.67178
Prince Edward Island,Maritime Select Lobster Inc.,"Alberton, PE C0B 1B0",6,Maritime Select Lobster Inc.,9618,Labourers in fish and seafood processing,46.837425,-64.113384
Prince Edward Island,100556 P.E.I. INC. G W.& R Visser Farms,"Vernon Bridge, PE C0A 2E0",4,100556 P.E.I. INC. G W.& R Visser Farms,8431,General farm workers,46.179,-62.884
Prince Edward Island,Atlantic Grown Organics Inc,"Spring Valley, PE C0B 1M0",2,Atlantic Grown Organics Inc,8431,General farm workers,46.43789,-63.63458
Prince Edward Island,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",10,Brookfield Gardens Inc,8431,General farm workers,46.203797,-63.266232
Prince Edward Island,Eastern Exporters Limited,"Souris, PE C0A 2B0",1,Eastern Exporters Limited,8431,General farm workers,46.354047,-62.25215
Prince Edward Island,Five Rivers Agri Products Inc.,"Alliston, PE C0A 1R0",1,Five Rivers Agri Products Inc.,0821,Managers in agriculture,46.1637,-62.64674
Prince Edward Island,Hy-Croft Farms Inc.,"Summerside, PE C1N 4V4",8,Hy-Croft Farms Inc.,8431,General farm workers,46.423011,-63.800596
Prince Edward Island,Jewell's of Prince Edward Island Inc.,"York RR, PE C0A 1P0",1,Jewell's of Prince Edward Island Inc.,8431,General farm workers,46.416154,-63.074183
Prince Edward Island,KINKORA HOLDINGS INC,"KINKORA, PE C0B 1N0",5,KINKORA HOLDINGS INC,8431,General farm workers,46.344061,-63.548072
Prince Edward Island,MGS Holdings & Distribution Ltd.,"Alberton, PE C0B 1B0",3,MGS Holdings & Distribution Ltd.,8431,General farm workers,46.837425,-64.113384
Prince Edward Island,Vanco Farms Ltd.,"Mount Albion, PE C1B 0R4",21,Vanco Farms Ltd.,8431,General farm workers,46.22192,-62.971058
Prince Edward Island,Victoria Potato Farm Inc.,"Crapaud, PE C0A 1J0",4,Victoria Potato Farm Inc.,8431,General farm workers,46.24001,-63.50021
Prince Edward Island,W.P.  Griffin Inc.,"Elmsdale, PE C0B 1K0",1,W.P.  Griffin Inc.,8431,General farm workers,46.837426,-64.113384
Nova Scotia,12792231 Canada Inc.,"Halifax, NS B3J  3M",1,12792231 Canada Inc.,0013,Senior managers ,,
Nova Scotia,3099228 Nova Scotia Limited,"Italy Cross, NS B4V 0K8",8,3099228 Nova Scotia Limited,7271,Carpenters,44.263791,-64.5511829
Nova Scotia,3274876 Nova Scotia Ltd,"Clarks Harbour, NS B0W 1P0",1,3274876 Nova Scotia Ltd,1225,Purchasing agents and officers,43.462969,-65.650454
Nova Scotia,3289828 NS LTD,"SACKVILLE, NS B4C 2N1",1,3289828 NS LTD,7322,Motor vehicle body repairers,44.754185,-63.662779
Nova Scotia,3334291 NOVA SCOTIA LIMITED,"Halifax, NS B3J 1G9",1,3334291 NOVA SCOTIA LIMITED,0631,Restaurant and food service managers,44.642744,-63.577993
Nova Scotia,AFRICA CANADA TRADE AND INVESTMENT VENTURE INC.,"HALIFAX, NS B3J 3J8",3,AFRICA CANADA TRADE AND INVESTMENT VENTURE INC.,0412,Government managers ,44.6509579,-63.5789426
Nova Scotia,Anytime Freight Services Inc.,"Halifax, NS B3M 0B9",2,Anytime Freight Services Inc.,7511,Transport truck drivers,44.6594673,-63.6585838
Nova Scotia,CBBC Career College Inc.,"Dartmouth, NS B2Y 2N6",1,CBBC Career College Inc.,1221,Administrative officers,44.664973,-63.569259
Nova Scotia,Dalhousie University,"Halifax, NS B3H 4H2",3,Dalhousie University,4011,University professors and lecturers,44.640703,-63.608563
