Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name,Incorporated Status,Approved LMIA,Latitude,Longitude
Newfoundland and Labrador,A.B Clarke Electric Ltd,"Cbs, NL A1W 5T8",1,High Wage,1241,Administrative assistants,Unknown,1,47.532522,-52.930464
Newfoundland and Labrador,AB Complex Inc.,"Gander, NL A1V 1X3",1,High Wage,0013,Senior managers ,Unknown,1,48.951546,-54.606189
Newfoundland and Labrador,Central Regional Health Authority,"GRAND FALLS - WINDSOR, NL A2A 2E1",2,High Wage,3111,Specialist physicians,Non-Profit Organization,2,48.933254,-55.647212
Newfoundland and Labrador,Eastern Regional Health Authority,"Mount Pearl, NL A1N 3J5",1,High Wage,3111,Specialist physicians,Unknown,1,47.5232115,-52.7789647
Newfoundland and Labrador,Memorial University of Newfoundland and Labrador,"St. John's, NL A1C 5S7",1,High Wage,4011,University professors and lecturers,Unknown,1,47.55954,-52.711431
Newfoundland and Labrador,60178 Newfoundland & Labrador Corp,"Placentia, NL A0B 2Y0",2,Low Wage,6311,Food service supervisors,Unknown,1,47.238091,-53.960329
Newfoundland and Labrador,61144 Newfoundland and Labrador Inc,"St John's, NL A1E 4P3",1,Low Wage,7452,Material handlers,Unknown,1,47.5204882,-52.7665454
Newfoundland and Labrador,72764 Newfoundland and Labrador Ltd.,"Springdale, NL A0J 1T0",2,Low Wage,6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1,49.5340194702148,-56.191593170166
Newfoundland and Labrador,86956 NEWFOUNDLAND & LABRADOR INC.,"St. John's, NL A1B 3R2",1,Low Wage,6341,Hairstylists and barbers,Unknown,1,47.557006,-52.760948
Newfoundland and Labrador,87602 NEWFOUNDLAND AND LABRADOR CORP,"Rocky Harbour, NL A0K 4N0",2,Low Wage,6211,Retail sales supervisors,Unknown,1,49.585385,-57.936292
Newfoundland and Labrador,Allens Fisheries Limited,"Benoits Cove, NL A0L 1A0",12,Low Wage,9618,Labourers in fish and seafood processing,Unknown,1,48.993375,-58.100882
Newfoundland and Labrador,AQUA CRAB PRODUCERS INC,"AQUAFORTE, NL A0A 1A0",21,Low Wage,9463,Fish and seafood plant workers,Unknown,1,47.007347,-52.958921
Newfoundland and Labrador,Atlantic Grocery Distributors Ltd,"Bay Roberts, NL A0A 1G0",5,Low Wage,6622,"Store shelf stockers, clerks and order fillers",Unknown,1,47.571957,-53.278126
Newfoundland and Labrador,Atlantic Grocery Distributors Ltd,"Bay Roberts, NL A0A 1G0",2,Low Wage,7511,Transport truck drivers,Unknown,1,47.571957,-53.278126
Newfoundland and Labrador,B & F ENTERPRISES LTD.,"BAIE VERTE, NL A0K 1B0",1,Low Wage,6311,Food service supervisors,Unknown,1,49.934577,-56.201564
Newfoundland and Labrador,Baba Q's Smoke & Grill Restaurant Ltd,"Labrador City, NL A2V 2B6",3,Low Wage,6322,Cooks,Unknown,1,52.9459114,-66.9058657
Newfoundland and Labrador,Baba Q's Smoke & Grill Restaurant Ltd,"Labrador City, NL A2V 2B6",2,Low Wage,6512,Bartenders,Unknown,1,52.9459114,-66.9058657
Newfoundland and Labrador,Baba Q's Smoke & Grill Restaurant Ltd,"Labrador City, NL A2V 2B6",6,Low Wage,6711,"Food counter attendants, kitchen helpers and related support occupations",Unknown,1,52.9459114,-66.9058657
Newfoundland and Labrador,Barry Group Inc,"Port De Grave, NL A0A 3J0",15,Low Wage,9463,Fish and seafood plant workers,Corporation,1,47.566615,-53.263418
Newfoundland and Labrador,Barry Group Inc,"Witless Bay, NL A0A 4K0",17,Low Wage,9463,Fish and seafood plant workers,Corporation,1,47.280092,-52.827119
Newfoundland and Labrador,Barry Group Inc.,"Corner Brook, NL A2H 3E9",65,Low Wage,9463,Fish and seafood plant workers,Unknown,2,48.9595042,-57.9967139
Newfoundland and Labrador,Barry Group Inc.,"Corner Brook, NL A2H 3E9",15,Low Wage,9618,Labourers in fish and seafood processing,Unknown,2,48.9595042,-57.9967139
Newfoundland and Labrador,CBS FOODS LTD,"CONCEPTION BAY, NL A1W 3A6",2,Low Wage,6322,Cooks,Unknown,1,47.5183451,-52.9567005
Newfoundland and Labrador,DaMarcus RestoBar Corp,"corner brook, NL A2H 4B5",1,Low Wage,6311,Food service supervisors,Unknown,1,48.9521269,-57.9534349
Newfoundland and Labrador,DaMarcus RestoBar Corp,"corner brook, NL A2H 4B5",1,Low Wage,6322,Cooks,Unknown,1,48.9521269,-57.9534349
Newfoundland and Labrador,Deer Lake Holdings Limited,"Deer Lake, NL A8A 2E8",1,Low Wage,6525,Hotel front desk clerks,Unknown,1,49.168931,-57.431554
