Employer,Address,Positions,Province,Latitude,Longitude
Aker Solutions AIM,"215 Water Street, Box 20, Suite 511, St. John's, NL  A1C 6C9",3,Newfoundland and Labrador,47.5630158,-52.7084738
Aker Solutions Asset Integrity Management,"2 Vanguard Court, St. John's, NL  A1A 5N7",3,Newfoundland and Labrador,47.606421,-52.739658
Amaguk Inn,"PO Box 129, Hopedale, NL  A0P 1G0",1,Newfoundland and Labrador,55.459297,-60.203854
Arup Canada,"17 Duffy Place, St. John's, NL  A1B 4M7",4,Newfoundland and Labrador,47.56146,-52.772715
Astaldi Canada Inc.,"358 Hamilton River Road, PO Box 177, STN C, Happy Valley-Goose Bay, NL  A0P 1C0",2,Newfoundland and Labrador,53.308255,-60.378852
Atlantic Grocery Distributors,"1 Hope Avenue, Bay Roberts, NL  A0A 1G0",7,Newfoundland and Labrador,47.571957,-53.278126
Bistro Sofia Inc.,"320 Water Street, St. John's, NL  A1C 6E8",2,Newfoundland and Labrador,47.559564,-52.711431
Bogarts Jewelry Ltd.,"40 Aberdeen Avenue, Suite 106, St. John's, NL  A1A 5T3",1,Newfoundland and Labrador,47.617184,-52.715265
Braven NL Inc.,"PO Box 6207, STN C, St. John's, NL  A1C 6J9",10,Newfoundland and Labrador,47.568789,-52.717831
Burger King,"520 Topsail Road, St. John's, NL  A1E 2C5",1,Newfoundland and Labrador,47.539345,-52.73778
Buy N' Fly Ltd o/a IGA Supermarket,"208 Humber Avenue, PO Box 392, Labrador City, NL  A2V 1L1",1,Newfoundland and Labrador,52.942987,-66.90943
Carol Automobile Ltd.,"55 Avalon Drive, PO Box 304, Labrador City, NL  A2V 2K6",2,Newfoundland and Labrador,52.939826,-66.90674
CBS Foods Ltd,"152 Conception Bay Highway, Conception Bay South, NL  A1W 3A6",3,Newfoundland and Labrador,47.5183451,-52.9567005
Central Health Authority,"50 Union Street, Grand Falls-Windsor, NL  A2A 2E1",1,Newfoundland and Labrador,48.933254,-55.647212
Coastal Shipping Ltd,"PO Box 910, Lewisporte, NL  A0G 3A0",1,Newfoundland and Labrador,49.2447471618652,-55.057186126709
Conche Seafoods Ltd.,"PO Box 29, Cape Broyle, NL  A0A 1P0",1,Newfoundland and Labrador,47.058805,-52.890816
Dovre Canada Limited,"5 Hill O'Chips, St. John's, NL  A1C 0A8",2,Newfoundland and Labrador,47.5650389,-52.7150039
