Province,Employer,Address,Positions,Stream,NOC 2011,NOC Name,Latitude,Longitude
Newfoundland and Labrador,Central Regional Health Authority,"GRAND FALLS-WINDSOR, NL A2A 1Y4",1,Central Regional Health Authority,3111,Specialist physicians,48.9296771,-55.6621051
Newfoundland and Labrador,Eastern Regional Integrated Health Authority o/a Dr. G.B. Cross Memorial Hospital,"BURIN, NL A0E 1E0",2,High Wage,3111,Specialist physicians,47.037913,-55.162985
Newfoundland and Labrador,Fugro Canada Corp,"ST. JOHN'S, NL A1B 3X2",10,High Wage,2273,"Deck officers, water transport",47.5552933,-52.7669429
Newfoundland and Labrador,G&C Reddemann Investments Ltd.,"LABRADOR CITY, NL A2V  2W",2,High Wage,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers",,
Newfoundland and Labrador,Labrador-Grenfell Health,"Happy Valley-Goose Bay, NL A0P 1C0",1,High Wage,3111,Specialist physicians,53.308255,-60.378852
Newfoundland and Labrador,Western Regional Integrated Health Authority,"Corner Brook, NL A2H 6J7",1,High Wage,3111,Specialist physicians,48.965333,-58.030775
Newfoundland and Labrador,10565 NFLD. Inc. o/a Hotel North - Jungle Jim Restaurant,"Happy Valley-Goose Bay, NL A0P 1C0",5,10565 NFLD. Inc. o/a Hotel North - Jungle Jim Restaurant,6322,Cooks,53.308255,-60.378852
Newfoundland and Labrador,Barry Group Inc.,"Corner Brook, NL A2H 3E9",40,Low Wage,9463,Fish and seafood plant workers,48.9595042,-57.9967139
Newfoundland and Labrador,CBS Foods Ltd,"CONCEPTION BAY SOUTH, NL A1W 3A6",2,Low Wage,6322,Cooks,47.5183451,-52.9567005
Newfoundland and Labrador,East to West Investments Inc.,"Corner Brook, NL A2H 5M7",1,Low Wage,6322,Cooks,48.941622,-57.947042
Newfoundland and Labrador,Fugro Canada Corp,"ST. JOHN'S, NL A1B 3X2",2,Low Wage,1522,Storekeepers and partspersons,47.5552933,-52.7669429
Newfoundland and Labrador,Jason Thistle Holdings o/a Avis/Budget Rental,"HAPPY VALLEY-GOOSE BAY, NL A0P 1E0",1,Low Wage,6421,Retail salespersons,53.312758,-60.38015
Newfoundland and Labrador,Terra Vista Ltd.,"GLOVERTOWN, NL A0G 2L0",12,Low Wage,9618,Labourers in fish and seafood processing,48.666843,-54.045243
Newfoundland and Labrador,Wing'n It Kenmount,"St. John's, NL A1B 3M7",1,Low Wage,6322,Cooks,47.577761,-52.875216
Newfoundland and Labrador,Ashland Farms Inc.,"Cormack, NL A8A 2M9",1,Ashland Farms Inc.,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",49.300178,-57.388307
Newfoundland and Labrador,Larch Grove Farm Ltd.,"Cormack, NL A8A 2R7",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",49.282213,-57.420854
Newfoundland and Labrador,New World Dairy Inc.,"St. David's, NL A0N 1X0",3,Primary Agriculture,8431,General farm workers,48.160518,-58.815081
Newfoundland and Labrador,Verafin Inc.,"ST. JOHN'S, NL A1A 0L9",10,Verafin Inc.,2174,Computer programmers and interactive media developers,47.5607604980469,-52.7122497558594
Prince Edward Island,Health PEI,"Charlottetown, PE C1A 7N8",1,Health PEI,3111,Specialist physicians,46.25128,-63.147429
Prince Edward Island,Splendid Essence Restaurant Inc.,"Charlottetown, PE C1A 4R9",1,High Wage,6321,Chefs,46.237617,-63.126802
Prince Edward Island,UNI Inc.,"CHARLOTTETOWN, PE C1A 5N8",1,High Wage,1123,"Professional occupations in advertising, marketing and public relations",46.251285,-63.12164
Prince Edward Island,University of Prince Edward Island,"Charlottetown, PE C1A 4P3",1,High Wage,4011,University professors and lecturers,46.2562014,-63.141776
Prince Edward Island,Blue Mussel Cafe,"North Rustico, PE C0A 1X0",1,Blue Mussel Cafe,0631,Restaurant and food service managers,46.481013,-63.351456
Prince Edward Island,Perry's Construction Ltd,"Tingish, PE C0B 2B0",8,Low Wage,7611,Construction trades helpers and labourers,46.9756355285645,-64.0738525390625
Prince Edward Island,Summerside Seafood Supreme Inc.,"Summerside, PE C1N 2V5",25,Low Wage,9463,Fish and seafood plant workers,46.413814,-63.681255
Prince Edward Island,100556 PEI Inc. / GWR Visser Farms,"VERNON BRIDGE, PE C0A 2E0",6,100556 PEI Inc. / GWR Visser Farms,8431,General farm workers,46.179,-62.884
Prince Edward Island,101497 P.E.I. Ashley Wood,"CHERRY VALLEY, PE C0A 2E0",12,Primary Agriculture,8431,General farm workers,46.179,-62.884
Prince Edward Island,Brookfield Gardens Inc,"Brookfield, PE C0A 1Y0",11,Primary Agriculture,8431,General farm workers,46.203797,-63.266232
Prince Edward Island,Carruthers Farms Ltd.,"Kensington, PE C0B 1M0",4,Primary Agriculture,8431,General farm workers,46.43789,-63.63458
Prince Edward Island,Eastern Farms Ltd,"POWNAL, PE C1B 3S5",8,Primary Agriculture,8431,General farm workers,46.2083523,-63.0759984
Prince Edward Island,Extondale Farms Ltd.,"Oyster Bed, PE C1E 1Z4",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",46.283411,-63.196791
Prince Edward Island,Frizzell's Valleyville Farm Inc.,"HUNTER RIVER, PE C0A 1N0",1,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",46.401847,-63.338722
Prince Edward Island,Hy-Croft Farms Inc,"Summerside, PE C1N 4V4",12,Primary Agriculture,8431,General farm workers,46.423011,-63.800596
Prince Edward Island,Jewell's of Prince Edward Island Inc,"York RR, PE C0A 1P0",4,Primary Agriculture,8431,General farm workers,46.416154,-63.074183
Prince Edward Island,Kouwenberg Farm Inc.,"Millview, PE C0A 2E0",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",46.179,-62.884
Prince Edward Island,Matos Winery and Distillery,"St. Catherines, PE C0A 1H1",1,Primary Agriculture,8431,General farm workers,46.210462,-63.228876
Prince Edward Island,Nobra Holsteins Inc.,"Kensington, PE C0B 1M0",3,Primary Agriculture,8431,General farm workers,46.43789,-63.63458
Prince Edward Island,Power Line Pork Inc.,"Albany, PE C0B 1A0",2,Primary Agriculture,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers",46.318197,-63.558561
Prince Edward Island,Productions Vegkiss PEI,"Vernon River, PE C0A 2E0",28,Primary Agriculture,8431,General farm workers,46.179,-62.884
Prince Edward Island,Vanco Farms Ltd,"Mount Albion, PE C1B 0R4",11,Primary Agriculture,8431,General farm workers,46.22192,-62.971058
Prince Edward Island,Victoria Potato Farm Inc,"Crapaud, PE C0A 1J0",1,Primary Agriculture,8431,General farm workers,46.24001,-63.50021
Nova Scotia,Arrival & Departures Communications Limited,"HALIFAX, NS B3J 1S9",2,Arrival & Departures Communications Limited,5135,Actors and comedians,44.652261,-63.576866
Nova Scotia,Eassons Transport Ltd.,"Kentville, NS B4N 3V7",10,High Wage,7511,Transport truck drivers,45.067163,-64.547804
Nova Scotia,GTL Transportation Inc.,"Dartmouth, NS B3B 1X0",4,High Wage,7511,Transport truck drivers,,
Nova Scotia,INQT Media Inc.,"DARTMOUTH, NS B3A 4T1",1,High Wage,2174,Computer programmers and interactive media developers,44.733302,-63.653947
Nova Scotia,Irving Shipbuilding Inc.,"Halifax, NS B3K 5M7",2,High Wage,0211,Engineering managers,44.66274,-63.590281
Nova Scotia,Masontech Inc.,"HALIFAX, NS B3K 3T6",1,High Wage,7281,Bricklayers,44.651452,-63.585616
Nova Scotia,Nova Scotia Health Authority,"Halifax, NS B3H 2Y9",1,High Wage,4151,Psychologists,44.6378,-63.578959
Nova Scotia,Royal Nova Scotia Yacht Squadron,"Halifax, NS B3P 1C7",2,High Wage,5252,Coaches,44.622762,-63.585964
Nova Scotia,RT Han & Kim Ltd.,"BEDFORD, NS B1B 0R1",1,High Wage,0621,Retail and wholesale trade managers,,
Nova Scotia,Saint Mary's University,"HALIFAX, NS B3H 3C3",2,High Wage,4011,University professors and lecturers,44.630549,-63.582286
